requirement_id,auto_decision,weighted_score,correctness,completeness,hallucination_risk,reviewer_usefulness,coverage_ratio,disallowed_hits,scoring_notes,diagnostic_notes
REQ-001,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Session token is created and present after successful login' (17 words); [diag] Long expected_result in 'Session token is stored with secure attributes' (17 words); [diag] Long expected_result in 'Login fails and no session token is created when correct email is submitted with incorrect password' (21 words); [diag] Long expected_result in 'Login fails when a non-registered email is submitted' (17 words); [diag] Long expected_result in 'Login form submission with empty email and password fields is rejected' (16 words)
REQ-002,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Generic error message displayed on valid email with incorrect password' (21 words); [diag] Long expected_result in 'Error message for invalid email does not differ from error message for valid email with wrong password' (25 words); [diag] Long expected_result in 'Password field is cleared after a failed login attempt' (19 words); [diag] Long expected_result in 'Failed login attempt is recorded in the system log' (27 words); [diag] Long expected_result in 'Successful login is not affected after a prior failed attempt' (18 words); [diag] Long expected_result in 'Email field value is retained after a failed login attempt' (22 words)
REQ-003,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Administrator successfully deletes a project after confirming the dialog' (21 words); [diag] Long expected_result in 'Administrator cancels the deletion at the confirmation dialog and project is preserved' (20 words); [diag] Long expected_result in 'Non-administrator user is unable to delete a project' (16 words); [diag] Long expected_result in 'All project members receive a notification upon project deletion' (17 words)
REQ-004,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Create task with assignee field left blank and verify successful save' (24 words); [diag] Long expected_result in 'Set assignee on an existing unassigned task after creation' (21 words); [diag] Long expected_result in 'Remove assignee from a previously assigned task and verify it moves to unassigned view' (17 words); [diag] Long expected_result in 'Attempt to create a task with blank assignee as an unauthenticated user' (16 words)
REQ-005,fail,1.2,2.0,0.0,1.0,2.0,25%,,Floor violation(s): completeness,[diag] Long expected_result in 'Registration with an already-registered email displays duplicate email error' (23 words); [diag] Long expected_result in 'Existing account data remains unmodified after duplicate registration attempt' (26 words); [diag] Long expected_result in 'Duplicate email check is case-insensitive' (23 words); [diag] Long expected_result in 'Error message content is clear and specific about the email conflict' (32 words)
REQ-006,pass,1.8,2.0,2.0,1.0,2.0,80%,,,[diag] Long expected_result in 'Successful password reset link request with valid registered email' (21 words); [diag] Long expected_result in 'Password reset link expires after 60 minutes' (20 words); [diag] Long expected_result in 'Password reset link cannot be reused after successful reset' (26 words); [diag] Long expected_result in 'Old password is invalidated immediately after successful reset' (16 words); [diag] Long expected_result in 'Password reset request submitted for a non-registered email address' (32 words)
REQ-007,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Member receives access-denied response when navigating to admin URL' (23 words); [diag] Long expected_result in 'Member is redirected to their own dashboard after attempting to access an admin URL' (19 words); [diag] Long expected_result in 'Unauthorized access attempt by member is recorded in the audit log' (28 words); [diag] Long expected_result in 'Unauthenticated user attempting to access admin URL does not bypass access control' (22 words); [diag] Long expected_result in 'User with 'admin' role can successfully access the admin dashboard' (22 words)
REQ-008,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Search with SQL metacharacters returns safe results without injection' (34 words); [diag] Long expected_result in 'Search with double quotes returns correct results and echoes input unchanged' (24 words); [diag] Long expected_result in 'Search with angle brackets does not execute as HTML or script' (36 words); [diag] Long expected_result in 'Search with ampersand character returns results and echoes input correctly' (36 words); [diag] Long expected_result in 'Search with a combination of multiple special characters handles all safely' (35 words); [diag] Long expected_result in 'Search with only special characters and no alphanumeric content returns graceful response' (32 words)
REQ-009,borderline,1.5,2.0,1.0,1.0,2.0,67%,,,[diag] Long expected_result in 'Notification is not sent when no valid user is specified' (21 words); [diag] Long expected_result in 'Notification is not sent when notification channel is missing or invalid' (18 words)
REQ-010,borderline,1.5,2.0,1.0,1.0,2.0,67%,,,[diag] Long expected_result in 'Successful account upgrade from standard to premium' (17 words); [diag] Long expected_result in 'Premium-only features are inaccessible before upgrading' (21 words); [diag] Long expected_result in 'Unauthenticated user cannot initiate account upgrade' (21 words); [diag] Long expected_result in 'Already-premium user attempting to upgrade again' (28 words); [diag] Long expected_result in 'Upgrade process fails due to invalid or declined payment' (27 words)
REQ-011,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Successful login with valid credentials and valid TOTP code' (19 words); [diag] Long expected_result in 'TOTP prompt is displayed after valid credentials for 2FA-enabled account' (21 words); [diag] Long expected_result in 'Access denied when an invalid TOTP code is submitted' (22 words); [diag] Long expected_result in 'Access denied when an expired TOTP code is submitted' (24 words); [diag] Long expected_result in 'No TOTP prompt for user without 2FA enabled' (16 words); [diag] Long expected_result in 'TOTP code reuse within the same time window is rejected' (16 words)
REQ-012,borderline,1.5,2.0,1.0,1.0,2.0,67%,,,[diag] Long expected_result in 'Pre-authentication session token is invalidated after successful login' (28 words); [diag] Long expected_result in 'Session fixation attack is prevented — pre-supplied session token not adopted post-login' (20 words); [diag] Long expected_result in 'Failed authentication does not invalidate the existing pre-authentication session' (26 words); [diag] Long expected_result in 'Post-authentication session token is functional for authenticated requests' (19 words); [diag] Long expected_result in 'Pre-authentication session token cannot be replayed after logout and re-login' (16 words)
REQ-013,pass,1.8,2.0,2.0,1.0,2.0,75%,,,[diag] Long expected_result in 'Successful OAuth redirect to provider authorization page' (19 words); [diag] Long expected_result in 'New account created and user redirected to dashboard after first-time OAuth authorization' (17 words); [diag] Long expected_result in 'Existing linked account user is logged in and redirected to dashboard after OAuth authorization' (19 words); [diag] Long expected_result in 'User denies authorization on OAuth provider page — system handles error gracefully' (28 words); [diag] Long expected_result in 'OAuth callback with tampered or invalid state parameter is rejected' (23 words); [diag] Long expected_result in 'Unsupported OAuth provider sign-in attempt is not processed' (21 words)
REQ-014,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Viewer is denied when attempting to create a task' (18 words); [diag] Long expected_result in 'Viewer is denied when attempting to edit or delete a task' (23 words); [diag] Long expected_result in 'Viewer is denied when attempting to add a comment' (18 words); [diag] Long expected_result in 'Unauthenticated or unauthorized actor cannot bypass viewer write restrictions by manipulating the role claim' (22 words)
REQ-015,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Editor successfully creates a task in their project' (23 words); [diag] Long expected_result in 'Editor successfully edits any existing task in the project' (20 words); [diag] Long expected_result in 'Editor successfully adds a comment to a task' (21 words); [diag] Long expected_result in 'Editor is denied when attempting to delete the project' (17 words); [diag] Long expected_result in 'Editor is denied when attempting to modify project-level settings' (18 words); [diag] Long expected_result in 'Non-editor (viewer/unauthenticated user) is denied task creation' (21 words)
REQ-016,borderline,1.5,2.0,1.0,1.0,2.0,50%,,,[diag] Long expected_result in 'Organization admin successfully creates a new project within the organization' (20 words); [diag] Long expected_result in 'Organization admin successfully deletes an existing project within the organization' (19 words); [diag] Long expected_result in 'Organization admin successfully manages a user's organization membership' (16 words); [diag] Long expected_result in 'Project admin successfully manages their own administered project' (18 words); [diag] Long expected_result in 'Project admin is denied access to a project they do not administer' (26 words); [diag] Long expected_result in 'Project admin is denied the ability to create or delete projects within the organization' (24 words)
REQ-017,pass,1.8,2.0,2.0,1.0,2.0,75%,,,"[diag] Long expected_result in 'Removed user receives access-denied on next request when no active session' (21 words); [diag] Long expected_result in 'User with active session receives access-denied on next project resource request immediately after removal' (21 words); [diag] Long expected_result in 'Removed user with active session is redirected on next project resource request' (34 words); [diag] Long expected_result in 'No grace period: access is revoked instantly, not after a delay' (30 words); [diag] Long expected_result in 'Non-member user who was never part of the project cannot access project resources' (20 words); [diag] Long expected_result in 'Remaining project members retain access after another user is removed' (25 words)"
REQ-018,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Bulk reassign selected tasks to a different user successfully' (26 words); [diag] Long expected_result in 'Bulk delete displays confirmation dialog with correct task count' (16 words); [diag] Long expected_result in 'Bulk delete proceeds and removes all selected tasks after confirmation' (18 words); [diag] Long expected_result in 'Bulk delete cancelled from confirmation dialog leaves tasks intact' (24 words); [diag] Long expected_result in 'Bulk status change applied atomically to all selected tasks' (23 words); [diag] Long expected_result in 'Unauthorized user cannot perform bulk operations on tasks' (31 words)
REQ-019,borderline,1.5,2.0,1.0,1.0,2.0,67%,,,[diag] Long expected_result in 'No overdue indicator displayed when due date is today (current date equals due date)' (21 words)
REQ-020,pass,1.8,2.0,2.0,1.0,2.0,80%,,,[diag] Long expected_result in 'Add a single subtask to an existing task' (29 words); [diag] Long expected_result in 'Add multiple subtasks to an existing task' (21 words); [diag] Long expected_result in 'Attempt to add a subtask with an empty title' (17 words); [diag] Long expected_result in 'Progress indicator updates correctly as subtasks are completed' (26 words); [diag] Long expected_result in 'Completing all subtasks does not automatically complete the parent task' (19 words); [diag] Long expected_result in 'Unauthorized user cannot add a subtask to a task' (17 words)
REQ-021,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Search response includes total result count and current page number' (26 words); [diag] Long expected_result in 'User can navigate to a valid page number beyond the first page' (20 words); [diag] Long expected_result in 'Request for an invalid (out-of-range) page number returns an error' (22 words); [diag] Long expected_result in 'Last page returns only the remaining items when total results are not a multiple of 25' (20 words); [diag] Long expected_result in 'Unauthenticated user cannot access task search results' (16 words)
REQ-022,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Search returns all tasks when no filters are active' (16 words); [diag] Long expected_result in 'Search with a single status filter returns only tasks matching that status' (18 words); [diag] Long expected_result in 'Search with multiple status values returns tasks matching any of the specified statuses' (18 words); [diag] Long expected_result in 'Search with all three filters active returns only tasks matching ALL filters simultaneously' (27 words); [diag] Long expected_result in 'Search with filters that match no existing tasks returns an empty result set' (22 words); [diag] Long expected_result in 'Search with an invalid due date range (start date after end date) is rejected' (18 words)
REQ-023,pass,1.8,2.0,2.0,1.0,2.0,80%,,,[diag] Long expected_result in 'Enable digest mode and receive batched email at configured time' (28 words); [diag] Long expected_result in 'Digest includes only events since the previous digest delivery' (17 words); [diag] Long expected_result in 'Individual event notifications are suppressed while digest mode is enabled' (22 words); [diag] Long expected_result in 'Unauthenticated user cannot enable or modify digest mode settings' (17 words)
REQ-024,borderline,1.5,2.0,1.0,1.0,2.0,67%,,,[diag] Long expected_result in 'Enable a single notification channel independently' (17 words); [diag] Long expected_result in 'Disable one channel without affecting other enabled channels' (16 words); [diag] Long expected_result in 'Changes to channel preferences take effect immediately for new notifications' (23 words); [diag] Long expected_result in 'Unauthenticated user cannot change notification channel preferences' (21 words); [diag] Long expected_result in 'Each channel can be toggled independently across all three channels' (16 words)
REQ-025,borderline,1.5,2.0,1.0,1.0,2.0,50%,,,[diag] Long expected_result in 'Premium-only features are inaccessible immediately after downgrade confirmation' (23 words); [diag] Long expected_result in 'Projects beyond free tier limit (more than 3) become read-only immediately after downgrade' (27 words); [diag] Long expected_result in 'User sees a clear indication of which projects are affected by the downgrade limit' (28 words); [diag] Long expected_result in 'Deleting an over-limit project restores write access to the next project in queue' (17 words); [diag] Long expected_result in 'Unauthenticated or free-tier user cannot invoke the downgrade endpoint to manipulate account state' (23 words)
REQ-026,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'PDF invoice is automatically generated at the end of a billing period' (22 words); [diag] Long expected_result in 'Generated PDF invoice contains all required fields' (33 words); [diag] Long expected_result in 'Each invoice is assigned a unique invoice number' (17 words); [diag] Long expected_result in 'Invoice is available and downloadable as PDF from billing history' (19 words); [diag] Long expected_result in 'User cannot access another user's invoice from billing history' (22 words); [diag] Long expected_result in 'No invoice is generated for a billing period that did not complete' (20 words)
REQ-027,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Authenticated user stays within rate limit — requests succeed' (17 words); [diag] Long expected_result in 'Authenticated user exceeds rate limit — HTTP 429 with Retry-After header returned' (31 words); [diag] Long expected_result in 'Retry-After header value is accurate — request succeeds after waiting' (22 words); [diag] Long expected_result in 'Rate limits are enforced per user — one user's limit does not affect another' (25 words); [diag] Long expected_result in 'Unauthenticated requests are rate-limited by IP address — exceeding limit returns HTTP 429' (27 words); [diag] Long expected_result in 'Unauthenticated request from different IP is not affected by another IP's rate limit' (24 words)
REQ-028,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Current active API version returns valid response without deprecation headers' (21 words); [diag] Long expected_result in 'Deprecated but still active API version returns valid response with Deprecation and X-API-Sunset-Date headers' (24 words)
REQ-029,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Client error response contains all three required JSON fields with correct HTTP 4xx status' (34 words); [diag] Long expected_result in 'Server error response contains all three required JSON fields with correct HTTP 5xx status' (34 words); [diag] Long expected_result in 'Error response 'error_code' field is a machine-readable string (not numeric or null)' (19 words); [diag] Long expected_result in 'HTTP status code semantically matches the error category (4xx vs 5xx)' (26 words); [diag] Long expected_result in 'Error response does not include additional undocumented top-level fields (no field leakage)' (24 words)
REQ-030,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'First page response includes valid next_cursor and null prev_cursor' (25 words); [diag] Long expected_result in 'Using next_cursor retrieves the subsequent page of results' (28 words); [diag] Long expected_result in 'Last page response contains null or absent next_cursor' (29 words); [diag] Long expected_result in 'Using prev_cursor navigates back to the previous page' (19 words); [diag] Long expected_result in 'Request with an invalid or tampered cursor value returns an appropriate error' (27 words); [diag] Long expected_result in 'Expired or already-consumed cursor returns an appropriate error or empty result' (31 words)
REQ-031,borderline,1.5,2.0,1.0,1.0,2.0,60%,,,[diag] Long expected_result in 'Single quote in filter parameter does not cause 500 error or SQL error leakage' (28 words); [diag] Long expected_result in 'Double quote in filter parameter does not cause 500 error or SQL error leakage' (26 words); [diag] Long expected_result in 'Classic SQL injection via semicolon and statement terminator does not execute injected SQL' (27 words); [diag] Long expected_result in 'SQL line-comment sequence (--) in filter parameter does not bypass filter logic or leak data' (32 words); [diag] Long expected_result in 'SQL block-comment sequence (/**/) in filter parameter does not cause 500 error or data leakage' (27 words); [diag] Long expected_result in 'Valid filter parameter with no SQL metacharacters returns expected results' (24 words)
REQ-032,pass,1.8,2.0,2.0,1.0,2.0,100%,,,[diag] Long expected_result in 'Authenticated request to protected endpoint succeeds with valid Bearer token' (28 words); [diag] Long expected_result in '/auth/token endpoint is accessible without any authentication' (27 words)
